ID Registro;ID Livro;ID Usuario;Data Retirada;Nome do livro;Nome do Aluno;Ação;Data de devolução;Qtd Livros reservados
6;5;12;2021-11-06;JS Advanced;Dudu;Retirada;2021-11-16;0
2;4;13;2021-11-06;Java Programim I ;Luis;Retirada;2021-11-16;0
9;7;15;2021-11-10;Maze Runner;Alencar;Retirada;2021-11-20;1
101;5;14;2021-11-21;JS Advanced;Tais;Retirada;2021-12-01;20
98;21;14;2021-11-21;Livro de teste 2;Tais;Retirada;2021-12-01;20
95;22;14;2021-11-21;Livro de teste 3;Tais;Retirada;2021-12-01;20
92;21;14;2021-11-21;Livro de teste 2;Tais;Retirada;2021-12-01;20
88;18;14;2021-11-20;CSS for Babies;Tais;Retirada;2021-11-30;20
87;18;14;2021-11-20;CSS for Babies;Tais;Retirada;2021-11-30;20
86;18;14;2021-11-20;CSS for Babies;Tais;Retirada;2021-11-30;20
84;18;14;2021-11-20;CSS for Babies;Tais;Retirada;2021-11-30;20
83;18;14;2021-11-20;CSS for Babies;Tais;Retirada;2021-11-30;20
79;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
77;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
57;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
53;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
49;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
46;20;14;2021-11-20;livro de teste;Tais;Retirada;2021-11-30;20
40;18;13;2021-11-18;CSS for Babies;Luis;Retirada;2021-11-28;2
38;18;13;2021-11-18;CSS for Babies;Luis;Retirada;2021-11-28;2
35;18;13;2021-11-18;CSS for Babies;Luis;Retirada;2021-11-28;2
31;19;13;2021-11-18;Padrões JavaScript;Luis;Renovacao;2021-12-08;2
30;19;13;2021-11-18;Padrões JavaScript;Luis;Retirada;2021-11-28;2
28;19;21;2021-11-18;Padrões JavaScript;Hanan;Retirada;2021-11-28;1
9;7;15;2021-11-10;Maze Runner;Alencar;Retirada;2021-11-20;4
3;4;13;2021-11-06;Java Programim I ;Luis;Renovacao;2021-11-26;2
2;4;13;2021-11-06;Java Programim I ;Luis;Retirada;2021-11-16;2
149;21;13;2021-11-25;Livro de teste 2;Luis;Retirada;2021-12-05;4
